slug	name	snomed	icd10	system	kind
costochondritis	Costochondritis	64109004	M94.0	musculoskeletal	disorder
covid-19	Coronavirus, see COVID-19	840539006	U07.1	infectious	disorder
cradle-cap	Cradle cap	62742006	L21.0	skin	disorder
craniosynostosis	Craniosynostosis	57219006	Q75.0	musculoskeletal	disorder
creutzfeldt-jakob-disease-cjd	CJD, see Creutzfeldt-Jakob disease	792004	A81.0	infectious	disorder
crohns-disease	Crohn's disease	34000006	K50.9	digestive	disorder
croup	Croup	71186008	J05.0	infectious	disorder
cushings-syndrome	Cushing's syndrome	47270006	E24.9	endocrine	disorder
cyclical-vomiting-syndrome	Cyclical vomiting syndrome	18773000		digestive	disorder
cystic-fibrosis	Cystic fibrosis	190905008	E84.9	respiratory	disorder
dandruff	Dandruff	400201008	L21.0	skin	disorder
deep-vein-thrombosis-dvt	DVT (deep vein thrombosis)	128053003	I80.2	cardiovascular	disorder
dehydration	Dehydration	34095006		unclassified	disorder
dementia	Dementia	52448006		mental-health	disorder
dengue	Dengue	38362002	A97.9	infectious	disorder
dental-abscess	Dental abscess	299709002	K04.7	digestive	disorder
detached-retina-retinal-detachment	Detached retina (retinal detachment)	42059000	H33.2	eye	disorder
developmental-coordination-disorder-dyspraxia	Developmental co-ordination disorder (dyspraxia) in children	6950007	R27.8	unclassified	presentation
developmental-coordination-disorder-dyspraxia-in-adults	Developmental co-ordination disorder (dyspraxia) in adults, see Dyspraxia in adults	6950007	R27.8	unclassified	presentation
developmental-dysplasia-of-the-hip	Congenital hip dislocation, see Developmental dysplasia of the hip	52781008	Q65.8	musculoskeletal	disorder
diabetes-insipidus	Diabetes insipidus	1296758008	N25.1	unclassified	disorder
diabetic-ketoacidosis	Diabetic ketoacidosis	420422005	E14.1	unclassified	disorder
diabetic-retinopathy	Diabetic retinopathy	4855003	E14.3	eye	disorder
digeorge-syndrome	DiGeorge syndrome (22q11 deletion)	767263007	D82.1	unclassified	disorder
diphtheria	Diphtheria	397430003	A36.9	infectious	disorder
dislocated-shoulder	Dislocated shoulder	417076003	S43.0	musculoskeletal	disorder
diverticular-disease-and-diverticulitis	Diverticular disease and diverticulitis	397881000	K57.9	digestive	disorder
downs-syndrome	Down's syndrome	41040004	Q90.9	unclassified	disorder
dysarthria	Dysarthria (difficulty speaking)	8011004	R47.1	unclassified	presentation
dysentery	Dysentery	46799006	A09.0	infectious	disorder
dyslexia-in-adults	Dyslexia in adults	59770006	R48.0	unclassified	presentation
dyslexia-in-children	Dyslexia in children	59770006	R48.0	unclassified	presentation
dystonia	Dystonia	15802004	G24.9	neurological	disorder
ear-infections	Ear infections	129127001	H66.9	infectious	disorder
ebola	Ebola virus disease	37109004	A98.4	infectious	disorder
ectopic-pregnancy	Ectopic pregnancy	34801009	O00.9	unclassified	disorder
ectropion	Ectropion	62909004	H02.1	eye	disorder
edwards-syndrome	Edwards' syndrome (trisomy 18)	51500006	Q91.3	unclassified	disorder
ehlers-danlos-syndromes	Ehlers-Danlos syndromes	398114001	Q79.6	musculoskeletal	disorder
encephalitis	Encephalitis	45170000	G04.9	neurological	disorder
endocarditis	Endocarditis	56819008		cardiovascular	disorder
endometriosis	Endometriosis	129103003	N80.9	unclassified	disorder
enlarged-prostate	Benign prostate enlargement, see Enlarged prostate	249607009		unclassified	presentation
epidermolysis-bullosa	Epidermolysis bullosa	61003004	Q81.9	skin	disorder
epididymitis	Epididymitis	31070006	N45.9	genitourinary	disorder
epiglottitis	Epiglottitis	80384002	J05.1	respiratory	disorder
epilepsy	Epilepsy	84757009	G40.9	neurological	disorder
erection-problems-erectile-dysfunction	Erectile dysfunction (impotence)	860914002	F52.2	unclassified	disorder
erythema-multiforme	Erythema multiforme	36715001	L51.9	unclassified	disorder
erythema-nodosum	Erythema nodosum	32861005		unclassified	disorder
erythrocytosis	Erythrocytosis	127062003	D75.1	unclassified	disorder
erythromelalgia	Erythromelalgia	37151006	I73.8	cardiovascular	disorder
excessive-daytime-sleepiness-hypersomnia	Excessive daytime sleepiness (hypersomnia)	1367959007	G47.1	unclassified	presentation
excessive-sweating-hyperhidrosis	Excessive sweating (hyperhidrosis)	52613005	R61.9	unclassified	presentation
eye-cancer	Eye cancer	363461003	C69.9	neoplasm	disorder
face-blindness	Face blindness, see Prosopagnosia (face blindness)	18358003	R48.8	unclassified	presentation
falls	Falls	161898004	R29.6	unclassified	presentation
febrile-seizures	Febrile seizures	41497008	R56.0	unclassified	presentation
female-genital-mutilation-fgm	Female genital mutilation (FGM)	95041000119101	Z91.7	genitourinary	disorder
fetal-alcohol-spectrum-disorder	Fetal alcohol spectrum disorder	609437000	P04.3	unclassified	disorder
fibroids	Fibroids	95315005	D25.9	neoplasm	disorder
