condition	symptom_id
ectopic-pregnancy	596
ectopic-pregnancy	597
ectropion	598
ectropion	599
ectropion	600
ectropion	601
ectropion	602
edwards-syndrome	603
edwards-syndrome	604
edwards-syndrome	605
edwards-syndrome	606
ehlers-danlos-syndromes	607
ehlers-danlos-syndromes	608
ehlers-danlos-syndromes	609
encephalitis	84
encephalitis	90
encephalitis	306
encephalitis	334
encephalitis	403
encephalitis	520
endocarditis	7
endocarditis	37
endocarditis	40
endocarditis	52
endocarditis	54
endocarditis	278
endocarditis	440
endocarditis	610
endocarditis	611
endocarditis	612
endometriosis	54
endometriosis	160
endometriosis	244
endometriosis	374
endometriosis	613
endometriosis	614
endometriosis	615
endometriosis	616
endometriosis	617
enlarged-prostate	86
enlarged-prostate	269
enlarged-prostate	270
enlarged-prostate	618
enlarged-prostate	619
epidermolysis-bullosa	193
epidermolysis-bullosa	620
epidermolysis-bullosa	621
epidermolysis-bullosa	622
epididymitis	623
epididymitis	624
epididymitis	625
epididymitis	626
epiglottitis	12
epiglottitis	37
epiglottitis	87
epiglottitis	327
epiglottitis	329
epiglottitis	332
epiglottitis	347
epiglottitis	627
epiglottitis	628
epiglottitis	629
epiglottitis	630
epilepsy	86
epilepsy	334
epilepsy	368
epilepsy	491
epilepsy	631
epilepsy	632
epilepsy	633
epilepsy	634
epilepsy	635
epilepsy	636
erythema-multiforme	37
erythema-multiforme	64
erythema-multiforme	108
erythema-multiforme	132
erythema-multiforme	137
erythema-multiforme	267
erythema-multiforme	339
erythema-multiforme	365
erythema-multiforme	399
erythema-multiforme	440
erythema-multiforme	637
erythema-multiforme	638
erythema-multiforme	639
erythema-multiforme	640
erythema-nodosum	26
erythema-nodosum	37
erythema-nodosum	46
erythema-nodosum	168
erythema-nodosum	267
erythrocytosis	4
erythrocytosis	26
erythrocytosis	56
erythrocytosis	78
erythrocytosis	188
erythrocytosis	234
erythrocytosis	343
excessive-daytime-sleepiness-hypersomnia	641
excessive-daytime-sleepiness-hypersomnia	642
excessive-daytime-sleepiness-hypersomnia	643
excessive-daytime-sleepiness-hypersomnia	644
eye-cancer	78
eye-cancer	265
eye-cancer	301
eye-cancer	645
eye-cancer	646
eye-cancer	647
eye-cancer	648
eye-cancer	649
face-blindness	650
face-blindness	651
face-blindness	652
face-blindness	653
face-blindness	654
face-blindness	655
febrile-seizures	90
febrile-seizures	128
febrile-seizures	201
febrile-seizures	636
febrile-seizures	656
febrile-seizures	657
fibroids	29
fibroids	141
fibroids	269
fibroids	343
fibroids	374
fibroids	419
fibroids	461
fibromyalgia	24
fibromyalgia	466
fibromyalgia	658
fibromyalgia	659
fibromyalgia	660
flu	19
flu	24
flu	40
flu	54
flu	101
flu	332
flu	443
flu	661
flu	662
flu	663
flu	664
food-allergy	18
food-allergy	49
food-allergy	99
food-allergy	105
food-allergy	106
food-allergy	108
food-allergy	343
food-allergy	665
food-intolerance	343
food-intolerance	666
food-poisoning	37
food-poisoning	49
food-poisoning	267
food-poisoning	343
frontotemporal-dementia	110
frontotemporal-dementia	115
frontotemporal-dementia	667
frontotemporal-dementia	668
frontotemporal-dementia	669
frontotemporal-dementia	670
frostbite	125
frostbite	671
frostbite	672
frostbite	673
frostbite	674
frostbite	675
frostbite	676
frostbite	677
frozen-shoulder	678
frozen-shoulder	679
gallbladder-cancer	37
gallbladder-cancer	40
gallbladder-cancer	41
gallbladder-cancer	49
gallbladder-cancer	160
gallbladder-cancer	346
gallbladder-cancer	680
gallbladder-cancer	681
gallstones	59
gallstones	62
gallstones	416
gangrene	131
gangrene	145
gangrene	339
gangrene	675
gangrene	682
gastritis	40
gastritis	49
gastritis	343
gastritis	346
gastritis	683
gastroparesis	10
gastroparesis	49
gastroparesis	343
gastroparesis	684
genital-warts	32
genital-warts	269
genital-warts	374
genital-warts	685
genital-warts	686
genital-warts	687
gestational-diabetes	48
gestational-diabetes	78
gestational-diabetes	263
gestational-diabetes	269
gestational-diabetes	688
giardiasis	10
giardiasis	160
giardiasis	401
giardiasis	431
giardiasis	689
gilberts-syndrome	41
glandular-fever	37
glandular-fever	332
glandular-fever	366
glaucoma	19
glaucoma	49
glaucoma	78
glaucoma	301
glaucoma	363
glaucoma	690
glaucoma	691
glomerulonephritis	26
glomerulonephritis	37
glomerulonephritis	40
glomerulonephritis	41
glomerulonephritis	47
glomerulonephritis	64
glomerulonephritis	119
glomerulonephritis	233
glomerulonephritis	234
glomerulonephritis	343
glomerulonephritis	692
glomerulonephritis	693
glue-ear	17
glue-ear	183
glue-ear	332
glue-ear	390
glue-ear	664
glue-ear	694
glue-ear	695
glue-ear	696
goitre	169
goitre	283
goitre	347
goitre	399
goitre	697
goitre	698
gonorrhoea	160
gonorrhoea	244
gonorrhoea	255
gonorrhoea	257
gonorrhoea	385
gonorrhoea	699
gout	338
gout	700
granuloma-annulare	3
granuloma-annulare	640
granuloma-annulare	701
granuloma-annulare	702
granulomatosis-with-polyangiitis	10
granulomatosis-with-polyangiitis	26
granulomatosis-with-polyangiitis	37
granulomatosis-with-polyangiitis	40
granulomatosis-with-polyangiitis	234
granulomatosis-with-polyangiitis	354
granulomatosis-with-polyangiitis	396
granulomatosis-with-polyangiitis	703
granulomatosis-with-polyangiitis	704
granulomatosis-with-polyangiitis	705
granulomatosis-with-polyangiitis	706
growing-pains	50
